instance_id	source	token_budget	candidate_entities	selected_entities	rendered_context_tokens	budget_fill	mean_selected_source_tokens	truncated_entities	changed_lines_covered	changed_lines_total	complete_changed_lines
matplotlib__matplotlib-20859	MURAL	4000	50	18	3747	0.93675	344.05555555555554	7	0	6	0
matplotlib__matplotlib-21568	MURAL	4000	50	22	3722	0.9305	192.63636363636363	4	0	3	0
matplotlib__matplotlib-22719	MURAL	4000	50	13	2510	0.6275	194.53846153846155	2	0	4	0
matplotlib__matplotlib-22865	MURAL	4000	50	13	3887	0.97175	426.46153846153845	7	2	3	0
matplotlib__matplotlib-22871	MURAL	4000	50	19	3549	0.88725	164.52631578947367	3	0	3	0
matplotlib__matplotlib-23299	MURAL	4000	50	24	3823	0.95575	117.91666666666667	2	0	3	0
matplotlib__matplotlib-23314	MURAL	4000	50	23	3959	0.98975	148.1304347826087	4	0	1	0
matplotlib__matplotlib-23412	MURAL	4000	50	10	2502	0.6255	306.3	4	4	4	1
matplotlib__matplotlib-23476	MURAL	4000	50	19	3740	0.935	321.1578947368421	5	0	1	0
matplotlib__matplotlib-24026	MURAL	4000	50	0	0	0.0	0.0	0	0	9	0
matplotlib__matplotlib-24149	MURAL	4000	50	18	3892	0.973	388.5	6	0	2	0
matplotlib__matplotlib-24177	MURAL	4000	50	15	3958	0.9895	549.1333333333333	5	0	2	0
matplotlib__matplotlib-24570	MURAL	4000	50	14	3731	0.93275	343.5	7	4	4	1
matplotlib__matplotlib-24627	MURAL	4000	50	13	3877	0.96925	275.9230769230769	5	0	2	0
matplotlib__matplotlib-24637	MURAL	4000	50	23	3937	0.98425	194.34782608695653	5	2	2	1
matplotlib__matplotlib-24870	MURAL	4000	50	15	3950	0.9875	431.93333333333334	10	7	24	0
matplotlib__matplotlib-24970	MURAL	4000	50	10	2656	0.664	507.1	6	0	11	0
matplotlib__matplotlib-25122	MURAL	4000	50	15	3898	0.9745	318.4	7	4	8	0
matplotlib__matplotlib-25287	MURAL	4000	50	13	3989	0.99725	1051.076923076923	8	0	6	0
matplotlib__matplotlib-25311	MURAL	4000	50	7	3867	0.96675	669.0	4	0	2	0
matplotlib__matplotlib-25332	MURAL	4000	50	13	3941	0.98525	927.3846153846154	10	0	1	0
matplotlib__matplotlib-25479	MURAL	4000	50	16	3878	0.9695	237.75	5	0	3	0
matplotlib__matplotlib-25775	MURAL	4000	50	27	3221	0.80525	56.22222222222222	2	0	16	0
matplotlib__matplotlib-25960	MURAL	4000	50	14	3994	0.9985	504.35714285714283	8	6	6	1
matplotlib__matplotlib-26113	MURAL	4000	50	11	3917	0.97925	1373.5454545454545	11	0	2	0
matplotlib__matplotlib-26208	MURAL	4000	50	17	3994	0.9985	231.64705882352942	2	1	2	0
